%OpenBCI Raw EEG Data
%
%Sample Rate = 250.0 Hz
%First Column = SampleIndex
%5 Columns before Timestamp are Frequency Power factors DELTA THETA ALPHA BETA GAMMA
%Last Column = Timestamp 
%Other Columns = EEG data in microvolts followed by Accel Data (in G) interleaved with Aux Data
0.0000000.0000000.0000000.0000000.0000000.0000000.0000000.000000, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.056
80026.35156389659.976563155315.468750147295.062500106949.58593891906.656250125678.734375115539.562500, , 0.306, 0.412, 0.816,0.0,0.0,0.0,0.0,0.0, 22:47:34.538
80002.85937589635.117188155305.015625147482.734375106925.98437591912.937500125689.218750115529.750000, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.539
80021.63281389651.882813155287.468750147454.046875106932.61718891885.468750125637.296875115506.187500, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.540
80049.35156389673.835938155313.750000147258.921875106962.18750091882.921875125631.281250115521.789063, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.540
80038.53125089660.578125155326.062500147299.312500106958.95312591908.312500125691.789063115535.781250, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.541
80010.32031389637.960938155305.328125147454.781250106929.03906391913.093750125695.078125115523.062500, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.541
80018.17187589643.273438155287.578125147466.515625106926.67187591890.562500125653.523438115505.296875, , 0.390, 0.350, 0.816,0.0,0.0,0.0,0.0,0.0, 22:47:34.542
80048.57031389668.554688155303.140625147265.328125106953.49218891875.125000125636.984375115509.320313, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.543
80050.39843889668.687500155325.437500147262.765625106961.87500091907.578125125696.171875115541.281250, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.543
80026.48437589644.507813155310.171875147410.859375106935.36718891919.289063125704.351563115537.343750, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.544
80027.06250089644.882813155295.468750147465.875000106925.26562591903.460938125677.773438115516.648438, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.544
80040.83593889661.851563155295.250000147298.421875106937.26562591875.007813125642.546875115501.632813, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.545
80037.79687589660.312500155315.609375147255.984375106946.34375091898.906250125697.468750115527.132813, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.545
80027.53125089645.671875155312.859375147367.765625106932.10156391914.664063125721.742188115530.617188, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.546
80017.14062589630.695313155296.609375147486.234375106915.92187591903.578125125699.164063115517.742188, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.546
80035.93750089649.085938155287.328125147348.484375106933.85156391872.593750125661.953125115505.226563, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.546
80049.39843889661.765625155314.312500147239.000000106947.17187591890.968750125689.468750115531.289063, , 0.440, 0.324, 0.816,0.0,0.0,0.0,0.0,0.0, 22:47:34.547
80032.40625089647.593750155316.765625147334.843750106938.03125091914.953125125720.492188115541.281250, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.547
80013.47656389632.328125155300.562500147482.750000106925.46875091909.562500125713.757813115524.226563, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.547
80025.25781389644.062500155280.406250147390.796875106922.28906391875.367188125648.828125115496.976563, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.548
80043.74218889657.335938155305.796875147244.281250106950.21093891887.187500125673.531250115518.593750, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.548
80032.34375089646.945313155318.375000147325.781250106948.73437591921.296875125722.007813115542.960938, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.548
80009.76562589625.890625155301.437500147488.500000106923.89843891920.335938125718.789063115532.812500, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.548
80020.04687589637.062500155280.875000147420.515625106921.82031391876.460938125654.328125115492.781250, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.549
80037.50000089651.007813155304.140625147271.218750106945.25000091876.101563125667.492188115505.585938, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.549
80026.07812589640.414063155312.156250147329.796875106940.32812591902.632813125715.679688115518.171875, , 0.462, 0.308, 0.810,0.0,0.0,0.0,0.0,0.0, 22:47:34.550
80007.55468889622.203125155294.625000147487.593750106916.48437591905.406250125714.835938115507.640625, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.550
80026.07812589639.164063155280.640625147466.343750106920.48437591881.804688125672.789063115491.484375, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.550
80055.03125089666.414063155305.140625147271.890625106955.08593891877.445313125678.578125115505.609375, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.550
80050.78125089661.609375155324.812500147289.718750106959.79687591907.867188125736.023438115532.296875, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.551
80030.55468889639.414063155310.437500147453.609375106935.05468891917.007813125738.414063115528.203125, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.551
80032.53906389642.296875155289.828125147477.500000106931.28125091896.062500125694.960938115507.398438, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.551
80055.81250089664.890625155305.281250147279.843750106955.30468891878.500000125679.921875115508.804688, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.552
80048.67968889655.234375155320.328125147262.312500106955.53125091901.742188125743.000000115532.523438, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.552
80030.28125089639.679688155310.171875147396.671875106923.00781391913.921875125740.585938115528.250000, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.552
80033.92968889641.398438155297.031250147484.453125106917.75781391903.914063125707.187500115513.562500, , 0.472, 0.298, 0.810,0.0,0.0,0.0,0.0,0.0, 22:47:34.553
80053.64062589662.921875155294.796875147307.843750106934.35937591876.437500125669.484375115500.195313, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.553
80053.71093889661.828125155315.000000147238.468750106943.66406391896.710938125721.156250115525.500000, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.553
80040.11718889648.304688155310.984375147352.468750106932.28125091915.492188125744.296875115529.523438, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.554
80025.45312589638.117188155293.140625147466.609375106922.38281391903.218750125728.062500115513.921875, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.554
80040.36718889653.382813155281.312500147336.218750106929.10937591868.171875125676.453125115496.687500, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.555
80052.65625089659.796875155305.437500147236.046875106943.79687591880.171875125717.742188115517.835938, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.555
80040.39062589643.992188155300.578125147323.046875106931.65625091903.867188125749.343750115529.882813, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.556
80034.26562589632.820313155292.812500147442.468750106930.33593891907.757813125743.421875115525.164063, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.556
80043.56250089644.398438155280.453125147341.859375106942.27343891876.257813125696.953125115505.406250, , 0.000, 0.000, 0.000,0.0,0.0,0.0,0.0,0.0, 22:47:34.556
80056.99218889655.617188155306.078125147207.578125106961.00781391882.453125125726.476563115519.937500, , 0.474, 0.292, 0.810,0.0,0.0,0.0,0.0,0.0, 22:47:34.557
