-59474.28	-87006.42	-104223.19	-99050.45	-79584.55	-112593.76	-81011.59	-86947.92	0	 13:21:00.596
-59527.25	-87054.95	-104250.99	-98853.78	-79658.09	-112664.84	-80858.2	-86992.18	0	 13:21:00.596
-59411.2	-86924.21	-104276.65	-99015.97	-79553.14	-112569.51	-81041.5	-87149.29	0	 13:21:00.596
-59341.22	-86860.62	-104243.77	-99235.23	-79460.94	-112481.38	-81221.56	-87095.55	0	 13:21:00.596
-59465.83	-86991.53	-104221.66	-99095.98	-79556.18	-112567.72	-81063.38	-86951.86	0	 13:21:00.596
-59581.01	-87080.92	-104255.26	-98853.41	-79666.55	-112678.11	-80859.94	-87008.05	0	 13:21:00.596
-59489.57	-86991.13	-104296.86	-98955.48	-79597.02	-112627.11	-80993.09	-87163.46	0	 13:21:00.596
-59390.35	-86882.7	-104285.59	-99218.01	-79487.65	-112520.73	-81224	-87153.12	0	 13:21:00.596
-59468.73	-86971.35	-104247.17	-99156.7	-79546.93	-112550.46	-81132.38	-86986.73	0	 13:21:00.597
-59586.24	-87096.41	-104261.74	-98881.95	-79676.48	-112671.72	-80887.2	-86985.55	0	 13:21:00.597
-59535.43	-87031.25	-104305.33	-98907.67	-79644.8	-112657.98	-80947.71	-87142.38	0	 13:21:00.597
-59405.26	-86889.52	-104303.65	-99183.43	-79512.64	-112535.71	-81200.76	-87168.91	0	 13:21:00.597
-59436.15	-86933.02	-104255.71	-99200.16	-79506.9	-112524.31	-81180.48	-87002.91	0	 13:21:00.597
-59571.53	-87074.5	-104254.63	-98929.58	-79636.63	-112643.02	-80934.86	-86948.41	0	 13:21:00.597
-59560.76	-87049.85	-104297.84	-98889.91	-79641.74	-112660.9	-80937.88	-87096.09	0	 13:21:00.597
-59442.36	-86919.98	-104314.65	-99145.65	-79535.7	-112558.27	-81188.26	-87180.16	0	 13:21:00.597
-59434.23	-86911.94	-104270.8	-99235.3	-79500.73	-112511.13	-81238.33	-87036.59	0	 13:21:00.597
-59585.1	-87075.62	-104260.54	-98968.31	-79647.71	-112641.08	-80983.67	-86921.33	0	 13:21:00.597
-59604.37	-87086.02	-104308.59	-98866.19	-79686.8	-112693.06	-80929.92	-87083.4	0	 13:21:00.598
-59469.36	-86928.84	-104325.4	-99108.84	-79559.16	-112582.09	-81177.35	-87199.16	0	 13:21:00.598
-59428.46	-86902.8	-104282.66	-99252.45	-79509.71	-112526.48	-81277.58	-87083.11	0	 13:21:00.598
-59594.75	-87070.52	-104280.77	-99022.98	-79659.63	-112641.27	-81049.23	-86969.67	0	 13:21:00.598
