0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,0.0,0.0,0.0,0.0,0.0, 22:49:06.859
83211.406250, 92080.445313, 155735.703125, 147908.234375, 107770.343750, 92286.703125, 129725.656250, 115876.625000,0.0,0.0,0.0,0.0,0.0, 22:49:07.354
83226.289063, 92096.648438, 155734.343750, 147881.187500, 107765.398438, 92262.500000, 129677.531250, 115855.164063,0.0,0.0,0.0,0.0,0.0, 22:49:07.355
83232.820313, 92105.210938, 155743.125000, 147725.265625, 107771.031250, 92253.421875, 129667.695313, 115856.890625,0.0,0.0,0.0,0.0,0.0, 22:49:07.355
83231.945313, 92109.835938, 155752.406250, 147751.437500, 107788.843750, 92292.984375, 129722.234375, 115889.679688,0.0,0.0,0.0,0.0,0.0, 22:49:07.356
83221.039063, 92100.070313, 155740.687500, 147868.781250, 107767.101563, 92303.914063, 129724.625000, 115888.625000,0.0,0.0,0.0,0.0,0.0, 22:49:07.356
83231.656250, 92105.343750, 155729.718750, 147857.953125, 107769.914063, 92287.687500, 129681.617188, 115863.390625,0.0,0.0,0.0,0.0,0.0, 22:49:07.357
83254.390625, 92132.882813, 155749.390625, 147699.000000, 107794.414063, 92274.078125, 129676.570313, 115863.859375,0.0,0.0,0.0,0.0,0.0, 22:49:07.357
83252.687500, 92131.406250, 155763.000000, 147715.406250, 107809.906250, 92301.210938, 129742.507813, 115895.109375,0.0,0.0,0.0,0.0,0.0, 22:49:07.357
83222.984375, 92105.007813, 155737.093750, 147831.453125, 107777.109375, 92311.562500, 129735.554688, 115886.484375,0.0,0.0,0.0,0.0,0.0, 22:49:07.358
83234.898438, 92118.218750, 155733.218750, 147887.156250, 107769.218750, 92297.210938, 129701.203125, 115876.625000,0.0,0.0,0.0,0.0,0.0, 22:49:07.358
83255.664063, 92141.484375, 155743.750000, 147726.187500, 107785.625000, 92262.679688, 129674.289063, 115863.210938,0.0,0.0,0.0,0.0,0.0, 22:49:07.359
83251.664063, 92135.296875, 155759.578125, 147700.125000, 107804.960938, 92288.804688, 129745.234375, 115883.484375,0.0,0.0,0.0,0.0,0.0, 22:49:07.359
83236.304688, 92122.421875, 155745.515625, 147812.062500, 107782.031250, 92317.570313, 129759.671875, 115889.679688,0.0,0.0,0.0,0.0,0.0, 22:49:07.359
83241.718750, 92127.117188, 155736.312500, 147869.328125, 107769.804688, 92289.007813, 129727.375000, 115869.625000,0.0,0.0,0.0,0.0,0.0, 22:49:07.360
83270.820313, 92155.031250, 155745.875000, 147714.828125, 107781.468750, 92265.000000, 129685.914063, 115860.171875,0.0,0.0,0.0,0.0,0.0, 22:49:07.360
83270.507813, 92154.140625, 155770.062500, 147658.687500, 107794.773438, 92294.867188, 129736.718750, 115883.820313,0.0,0.0,0.0,0.0,0.0, 22:49:07.361
83260.625000, 92141.242188, 155761.609375, 147743.296875, 107773.562500, 92313.640625, 129756.164063, 115886.187500,0.0,0.0,0.0,0.0,0.0, 22:49:07.362
83248.960938, 92128.703125, 155749.187500, 147845.312500, 107763.273438, 92296.585938, 129743.179688, 115875.593750,0.0,0.0,0.0,0.0,0.0, 22:49:07.362
83250.429688, 92133.578125, 155724.203125, 147723.546875, 107764.015625, 92268.781250, 129680.187500, 115848.843750,0.0,0.0,0.0,0.0,0.0, 22:49:07.364
83272.382813, 92153.757813, 155762.843750, 147616.250000, 107795.281250, 92298.710938, 129733.070313, 115882.570313,0.0,0.0,0.0,0.0,0.0, 22:49:07.364
83256.085938, 92139.609375, 155758.843750, 147710.000000, 107792.062500, 92320.812500, 129773.687500, 115899.695313,0.0,0.0,0.0,0.0,0.0, 22:49:07.365
83245.875000, 92133.257813, 155743.343750, 147820.640625, 107783.148438, 92324.125000, 129747.156250, 115883.554688,0.0,0.0,0.0,0.0,0.0, 22:49:07.365
83273.765625, 92161.648438, 155742.843750, 147719.093750, 107790.187500, 92300.406250, 129690.093750, 115862.476563,0.0,0.0,0.0,0.0,0.0, 22:49:07.365
83269.453125, 92157.335938, 155757.343750, 147600.515625, 107791.375000, 92284.289063, 129713.585938, 115870.765625,0.0,0.0,0.0,0.0,0.0, 22:49:07.365
83269.562500, 92156.218750, 155762.062500, 147671.796875, 107775.992188, 92300.187500, 129762.554688, 115884.226563,0.0,0.0,0.0,0.0,0.0, 22:49:07.366
83245.960938, 92137.929688, 155741.078125, 147797.031250, 107756.906250, 92302.554688, 129742.531250, 115866.835938,0.0,0.0,0.0,0.0,0.0, 22:49:07.366
83258.257813, 92148.257813, 155729.359375, 147751.687500, 107774.406250, 92285.859375, 129692.304688, 115851.125000,0.0,0.0,0.0,0.0,0.0, 22:49:07.366
83292.859375, 92179.257813, 155767.062500, 147607.734375, 107794.210938, 92278.164063, 129709.382813, 115862.835938,0.0,0.0,0.0,0.0,0.0, 22:49:07.367
83279.445313, 92171.953125, 155772.203125, 147631.687500, 107783.054688, 92300.500000, 129754.351563, 115885.585938,0.0,0.0,0.0,0.0,0.0, 22:49:07.367
83260.062500, 92155.945313, 155754.656250, 147742.281250, 107764.593750, 92298.085938, 129749.906250, 115880.359375,0.0,0.0,0.0,0.0,0.0, 22:49:07.367
83272.070313, 92166.320313, 155745.546875, 147742.359375, 107762.273438, 92284.492188, 129707.859375, 115858.164063,0.0,0.0,0.0,0.0,0.0, 22:49:07.368
83304.929688, 92196.179688, 155766.031250, 147584.656250, 107802.593750, 92290.460938, 129695.414063, 115874.078125,0.0,0.0,0.0,0.0,0.0, 22:49:07.369
